,iso,Country_mbg,Country_who2017,Country_who2016
78,NA,West Bank and Gaza,NA,NA
79,NAM,Namibia,Namibia,Namibia
80,NER,Niger,Niger,Niger
81,NGA,Nigeria,Nigeria,NA
82,NIC,Nicaragua,Nicaragua,Nicaragua
83,NPL,Nepal,Nepal,Nepal
84,OMN,Oman,NA,Oman
85,PAK,Pakistan,NA,Pakistan
86,PAN,Panama,Panama,Panama
87,PER,Peru,Peru,Peru
88,PHL,Philippines,Philippines,NA
89,PNG,Papua New Guinea,Papua New Guinea,NA
90,PRK,North Korea,North Korea,DPRKorea
91,PRY,Paraguay,Paraguay,Paraguay
92,PSE,Palestine,NA,NA
93,RWA,Rwanda,Rwanda,Rwanda
94,SDN,Sudan,NA,Sudan
95,SEN,Senegal,Senegal,Senegal
96,SLB,Solomon Islands,NA,NA
97,SLE,Sierra Leone,Sierra Leone,Sierra Leone
98,SLV,El Salvador,NA,El Salvador
99,SOM,Somalia,Somalia,Somalia
100,SSD,South Sudan,South Sudan,South Sudan
101,STP,Sao Tome and Principe,Sao Tome and Principe,Sao Tome & Principe
102,SUR,Suriname,Suriname,Suriname
103,SWZ,Swaziland,Swaziland,Swaziland
104,SYC,Seychelles,Seychelles,Seychelles
105,SYR,Syria,NA,NA
106,TCD,Chad,Chad,Chad
107,TGO,Togo,Togo,Togo
108,THA,Thailand,Thailand,Thailand
109,TJK,Tajikistan,Tajikistan,Tajikistan
110,TKM,Turkmenistan,Turkmenistan,Turkmenistan
111,TLS,Timor-Leste,Timor-Leste,Timor-Leste
112,TON,Tonga,NA,NA
113,TUN,Tunisia,NA,NA
114,TZA,Tanzania,Tanzania,Tanzania
115,UGA,Uganda,Uganda,Uganda
116,UKR,Ukraine,Ukraine,Ukraine
117,URY,Uruguay,NA,Uruguay
118,UZB,Uzbekistan,Uzbekistan,Uzbekistan
119,VCT,Saint Vincent and the Grenadines,NA,Saint Vincent & The Grenadines
120,VEN,Venezuela,Venezuela,Venezuela
121,VNM,Vietnam,NA,NA
122,VUT,Vanuatu,NA,NA
123,WSM,Samoa,NA,NA
124,YEM,Yemen,Yemen,Yemen
125,ZAF,South Africa,South Africa,South Africa
126,ZMB,Zambia,Zambia,Zambia
127,ZWE,Zimbabwe,Zimbabwe,Zimbabwe
,,,,
,,,,
,,,,
Countries in JRF 2017 but not JRF 2016,,,,
,,,,
Federated States of Micronesia,,,,
Jordan,,,,
Cambodia,,,,
Kiribati,,,,
Marshall Islands,,,,
Mongolia,,,,
Nigeria,,,,
Philippines,,,,
Papua New Guinea,,,,
